Chinese_Term,Expert_ICD11_Code
眼底病变,9B78.1Z
阴道尿道瘘,GC04.14
慢性高血压,JA20
子痫前期并发于慢性高血压,JA21
尿蛋白阳性,JA22.0
妊娠蛋白尿不伴有高血压,JA22.0
尿蛋白,JA22.0
水肿,JA22.1
妊娠水肿不伴有高血压,JA22.1
妊娠水肿伴蛋白尿不伴高血压,JA22.2
妊娠期高血压,JA23
子痫,JA24
轻到中度子痫前期,JA24.0
重度子痫前期,JA24.1
HELLP综合征,JA24.2
未特指的子痫前期,JA24.Z
妊娠高血压疾病,JA2Z
产前出血,JA41.Z
GBS,JA62.4
阴道炎,JA62.4
B族,JA62.4
生殖道B族链球菌感染,JA62.4
B族链球菌定植,JA62.4
支原体感染,JA62.4
链球菌感染,JA62.4
1型糖尿病,JA63.0
2型糖尿病,JA63.1
妊娠期糖尿病,JA63.2
其他特指的妊娠期糖尿病,JA63.Y
脂肪肝,JA65.0/DB92.Y
妊娠期胆汁淤积症,JA65.0/DB99.6Z
高胆汁酸血症,JA65.0/DB99.6Z
ICP,JA65.0/DB99.6Z
肝功能异常,JA65.0/DB99.6Z
耻骨联合分娩,JA65.7
耻骨联合半脱位,JA65.7
妊娠期甲状腺功能亢进,JA65.Y
妊娠期疲劳,JA65.Y/MG22
唐氏筛查高风险,JA66.1
产前筛查超声异常,JA66.3
双胎,JA80.0
双绒毛膜双羊膜囊,JA80.0
初产头浮,JA82.4
前不均倾位,JA82.Y
相对骨盆不称,JA83.Z
子宫肌瘤,JA84.1
瘢痕子宫,JA84.2
子宫纵膈术后,JA84.2
环扎术后,JA84.3
阴道手术后,JA84.4
会阴条件欠佳,JA84.5
宫颈消融术后,JA84.Y
宫颈手术后,JA84.Y
宫颈LEEP刀术后,JA84.Y
宫颈肌瘤,JA84.Y
盆腔包块,JA84.Z
附件肿物,JA84.Z
RH阴性、RH(-)、Rh血型,JA86.0
胎儿窘迫,JA86.2
胎监NST异常,JA86.2
胎监异常,JA86.2
胎儿心动过缓,JA86.2
OCT阳性,JA86.2
羊水过多,JA87
羊水过少,JA88.0
羊膜炎、绒毛膜炎,JA88.1
羊膜绒毛膜异常,JA88.Y
血性羊水,JA89.Z
胎膜早破,JA89.Z
prom,JA89.Z
TAPS,JA8A.0
帆状胎盘,JA8A.1
球拍状胎盘,JA8A.1
凶险性前置胎盘,JA8A.2|JA8B.1
胎盘粘连,JA8A.2
前置胎盘伴出血,JA8B.1
先兆早产,JA8D.0
先兆临产,JA8D.Z
早产,JB00.Z
宫缩乏力,JB02.2
急产,JB02.3
活跃期停滞,JB03.0
下降停滞,JB03.1
前不均倾,JB04.0
难产,JB06.Z
羊水I °,JB07.1
羊水II度污染,JB07.1
羊水浑浊,JB07.1
羊水污染,JB07.1
羊水I度污染,JB07.1
羊水III °,JB07.1
羊水三度,JB07.1
脐带脱垂,JB08.0
脐带绕颈,JB08.1
脐带绕颈伴压迫,JB08.1
脐带过短,JB08.2
前置血管,JB08.3
脐带血肿、脐带血管损害,JB08.4
脐带缠绕伴受压,JB08.5
脐带扭转,LB03.Y
脐血流异常,JB08.5
子宫破裂,JB0A.1
阴道壁裂伤,JB0A.4
结核,JB63.0
梅毒,JB63.1
疱疹,JB63.3/1A94.0
尖锐湿疣,JB63.3/1A95.1
HPV,JB63.3/1A95.1
人类乳头状瘤病毒感染,JB63.3/1A95.1
急性肝炎,JB63.4/1E50.Z
大三阳,JB63.4/1E51.0
小三阳,JB63.4/1E51.0
慢性乙肝,JB63.4/1E51.0
乙肝病毒携带,JB63.4/1E51.0
丙肝,JB63.4/1E51.1
肝炎,JB63.4/1E5Z
病毒性感染,JB63.5
巨细胞病毒,JB63.5/1D82.Z
风疹,JB63.5/1F02
HIV感染,JB63.7
菌血症,JB63.Z
贫血,JB64.0
地中海贫血(--SEA/aa),JB64.0/3A50.00
α型地中海贫血,JB64.0/3A50.00
中间型α-地中海贫血,JB64.0/3A50.02
白细胞减少,JB64.1
易栓症,JB64.1/3B61.Z
血栓形成倾向,JB64.1/3B61.Z
免疫性血小板减少,JB64.1/3B64.10
特发性血小板减少症,JB64.1/3B64.10
血小板减少,JB64.1/3B64.Z
血栓前状态,JB64.1/3B6Z
IgA肾病,JB64.1/4A4Z
甲状腺功能衰退,JB64.2/5A00.Z
甲状腺癌术后,JB64.2/5A00.Z
桥本甲状腺炎,JB64.2/5A03.20
糖耐量受损,JB64.2/5A40.1
妊娠期糖耐量异常,JB64.2/5A40.1
胰岛素抵抗,JB64.2/5A44
多囊卵巢、多囊,JB64.2/5A80.1
多发性硬化症,JB64.3/8A40.Z
心功能1级,JB64.4
心功能II级,JB64.4
心功能III级,JB64.4
高度近视,JB64.Y
子宫体肿瘤,JB64.Y
白血病,JB64.Y/2B33.4
妊娠期发生恶性肿瘤,JB64.Y/2D4Z
卵巢肿瘤,JB65.Y
巨大儿,KA22.0
AIH,QA30.0
辅助生殖,QA30.12
IVF妊娠,QA30.12
IVF-ET,QA30.12
体外授精-胚胎移植妊娠,QA30.12
既往不孕症,QA43.0
既往流产、葡萄胎史,QA43.1
不良产科史,QA43.2
高龄初产,QA43.4
高龄初孕,QA43.4
极年轻初孕妇,QA43.5
高龄经产,QA43.Z
三胎及以上妊娠,QA43.Z
多胎,QA43.Z
高龄经产,QA43.Z
恶性病史,QA43.Z
精神障碍病史,QA43.Z
非产科病史者,QA43.Z
恶性肿瘤病史,QA43.Z
